Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
experiment,1,32.97,32535782.41,0.00
experiment,1,33.07,33853241.79,0.00
experiment,1,33.17,32561373.70,0.00
experiment,1,33.27,32533702.96,0.00
experiment,1,33.37,32524156.30,0.00
experiment,1,33.47,31216984.69,0.00
experiment,1,33.57,29959728.84,0.00
experiment,1,33.68,29954405.77,0.00
experiment,2,0.00,0.00,0.00
experiment,2,0.10,32609736.84,0.00
experiment,2,0.20,33805203.02,0.00
experiment,2,0.30,33831847.69,0.00
experiment,2,0.40,33830966.86,0.00
experiment,2,0.50,32555357.67,0.00
experiment,2,0.60,32563148.08,0.00
experiment,2,0.70,32560756.57,0.00
experiment,2,0.81,32282671.30,0.00
experiment,2,0.91,32508693.37,0.00
experiment,2,1.01,32559522.38,0.00
experiment,2,1.11,31198826.06,0.00
experiment,2,1.21,33831367.23,0.00
